ParameterID,IARCgroup,IARCvolume,dateListed
300432,1,100F,2012
300433,1,100F,2012
300435,1,100F,2012
300436,1,100F,2012
300437,1,100F,2012
300438,1,100F,2012
300440,1,100F,2012
300441,1,100F,2012
300442,1,100F,2012
300479,3,"Sup 7, 92",2010
300481,3,"Sup 7, 92",2010
300503,3,"92, Sup 7",2010
300504,2B,92,2010
300505,3,"92, Sup 7",2010
300515,2B,82,2002
300516,2B,82,2002
300527,3,92,2010
300528,3,92,2010
300529,3,"Sup 7, 92",2010
300530,3,"Sup 7, 92",2010
300533,3,"Sup 7, 92",2010
300537,3,"Sup 7, 92",2010
300538,3,"Sup 7, 92",2010
300541,3,"92, Sup 7",2010
300542,3,"92, Sup 7",2010
300551,3,"Sup 7, 92",2010
300552,3,"Sup 7, 92",2010
300553,3,"Sup 7, 92",2010
300554,3,"Sup 7, 92",2010
300559,2B,"92, Sup 7",2010
300560,2B,"92, Sup 7",2010
300561,2B,92,2010
300562,2B,92,2010
300563,3,"Sup 7, 92",2010
300564,3,"Sup 7, 92",2010
300565,2B,92,2010
300566,2B,92,2010
300567,2B,92,2010
300568,2B,92,2010
300569,3,"92, Sup 7",2010
300570,3,"92, Sup 7",2010
300571,1,"Sup 7, 92, 100F",2012
300572,1,"Sup 7, 92, 100F",2012
300573,3,"92, Sup 7",2010
300574,3,"92, Sup 7",2010
300575,2B,"Sup 7, 92",2010
300576,2B,"Sup 7, 92",2010
300577,2A,"Sup 7, 92",2010
300578,2A,"Sup 7, 92",2010
300579,2A,"Sup 7, 92",2010
300580,2A,"Sup 7, 92",2010
300582,3,"Sup 7, 92",2010
300591,3,"15, Sup 7, 71",1999
300595,3,"Sup 7, 92",2010
300604,3,"30, Sup 7",1987
300629,1,100F,2012
300636,3,53,1991
300689,3,"Sup 7, 92",2010
300690,3,"Sup 7, 92",2010
300691,3,"92, Sup 7",2010
300696,3,"92, Sup 7",2010
300697,2B,"92, Sup 7",2010
300698,1,100F,2012
300699,1,100F,2012
300700,1,100F,2012
300701,1,100F,2012
300703,1,100F,2012
300704,1,100F,2012
300705,1,100F,2012
300707,1,100F,2012
300708,1,100F,2012
300711,2A,"41, Sup 7, 107",2016
300717,3,"48, 71",1999
300718,1,100F,2012
300719,1,100F,2012
300720,1,100F,2012
300721,1,100F,2012
300722,1,100F,2012
300723,1,100F,2012
300724,1,100F,2012
300725,1,100F,2012
300726,1,100F,2012
300736,1,100F,2012
300737,1,100F,2012
300739,2A,"Sup 7, 92",2010
300740,3,92,2010
300742,3,"Sup 7, 92",2010
300743,1,100F,2012
300745,1,100F,2012
300747,1,100F,2012
300748,1,100F,2012
300750,2A,"41, Sup 7, 107",2016
300753,3,"5, Sup 7",1987
300754,3,"5, Sup 7",1987
300755,1,100F,2012
300756,1,100F,2012
300757,1,100F,2012
300758,1,100F,2012
300763,1,100F,2012
300764,1,100F,2012
300765,1,100F,2012
300766,1,100F,2012
300773,1,100F,2012
300884,2B,"Sup 7, 79",2001
300886,1,113,In prep.
300887,3,"20, Sup 7",1987
300894,1,100F,2012
300897,1,100F,2012
300898,1,100F,2012
300899,1,100F,2012
300900,1,100F,2012
300901,1,100F,2012
300903,1,100F,2012
300904,1,100F,2012
300905,1,100F,2012
300906,1,100F,2012
300907,1,100F,2012
300908,1,100F,2012
300909,1,100F,2012
300910,1,100F,2012
300911,1,100F,2012
300912,1,100F,2012
300913,1,100F,2012
300914,1,100F,2012
300915,1,100F,2012
300916,1,100F,2012
300917,1,100F,2012
300918,1,100F,2012
300919,1,100F,2012
300920,1,100F,2012
300921,1,100F,2012
300922,1,100F,2012
300923,1,100F,2012
300924,1,100F,2012
300925,1,100F,2012
300926,1,100F,2012
300927,1,100F,2012
300928,1,100F,2012
300929,1,100F,2012
300930,1,100F,2012
300931,1,100F,2012
300932,1,100F,2012
300933,1,100F,2012
300934,1,100F,2012
300935,1,100F,2012
300936,1,100F,2012
300937,1,100F,2012
300938,1,100F,2012
300939,1,100F,2012
300940,1,100F,2012
300941,1,100F,2012
300942,1,100F,2012
300943,1,100F,2012
300944,1,100F,2012
300979,1,100F,2012
300993,1,100F,2012
300994,1,100F,2012
300995,1,100F,2012
300996,1,100F,2012
300997,1,100F,2012
300998,1,100F,2012
300999,1,100F,2012
301000,1,100F,2012
301001,1,100F,2012
301002,1,100F,2012
301003,1,100F,2012
301004,1,100F,2012
301005,1,100F,2012
301006,1,100F,2012
301007,1,100F,2012
301008,1,100F,2012
301009,1,100F,2012
301010,1,100F,2012
301011,1,100F,2012
301017,1,100F,2012
301018,1,100F,2012
301019,1,100F,2012
301020,1,100F,2012
301021,1,100F,2012
301022,1,100F,2012
301023,1,100F,2012
301024,1,100F,2012
301025,1,100F,2012
301026,1,100F,2012
301027,1,100F,2012
301028,1,100F,2012
301029,1,100F,2012
301030,1,100F,2012
301031,1,100F,2012
301032,1,100F,2012
301033,1,100F,2012
